0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,4,5,6,7,8,9
1,1,1,1,1,1,1,1,1,1,,,0,0,27,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,,,0,1,0,27,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,8,,,0,2,0,0,27,0,0,0,0,0,0,0
4,4,4,4,4,8,4,4,9,4,,´í1,0,3,0,0,0,27,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,,,1,4,0,0,0,0,26,0,0,0,0,1
6,6,6,9,6,9,6,6,9,9,,4,0,5,0,0,0,0,0,27,0,0,0,0
7,7,7,7,3,7,7,0,7,7,,1,5,6,0,0,0,0,0,0,22,0,0,5
8,8,8,8,8,8,8,8,8,8,,,1,7,1,0,0,0,0,0,0,26,0,0
9,9,9,9,9,9,9,9,9,9,,,0,8,0,0,0,0,0,0,0,0,27,0
0,0,0,0,0,0,0,0,0,0,,,0,9,0,0,0,0,0,0,0,0,0,27
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,7,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
6,6,6,6,6,9,6,6,6,6,,1,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,
