0,0,0,0,0,0,0,0,0,0,,,
1,1,1,1,1,1,1,1,1,1,,,
2,2,2,2,2,2,2,2,2,2,,,
3,3,3,3,3,3,3,3,3,3,,,
4,4,4,4,4,4,4,4,4,4,,,
5,5,5,5,5,5,5,5,5,5,,,
6,6,6,6,6,6,6,6,6,6,,,
7,7,7,7,7,7,7,7,7,7,,,
8,8,8,8,8,8,8,8,8,8,,,
9,9,9,9,9,9,9,9,9,9,,,
0,0,0,0,0,0,0,0,0,0,,,
1,1,1,1,1,1,1,1,1,1,,,
2,2,2,2,2,2,2,2,2,2,,,
3,3,3,3,3,3,3,3,3,8,´í,,
4,4,4,4,4,8,4,4,9,4,1,,
5,5,5,5,5,5,5,5,5,5,,,6
6,6,6,6,6,9,6,6,9,9,3,,
7,7,7,7,3,7,7,0,7,7,2,,
8,8,8,8,8,8,8,8,8,8,,,
9,9,9,9,9,9,9,9,9,9,,,
0,0,0,0,0,0,0,0,0,0,,,
1,1,1,1,1,1,1,1,1,1,,,
2,2,2,2,2,2,2,2,2,2,,,
3,3,3,3,3,3,3,3,3,3,,,
4,4,4,4,4,4,4,4,4,4,,,
5,5,5,5,5,5,5,5,5,5,,,
6,6,6,6,6,9,6,6,6,6,,,
7,7,7,7,7,7,7,7,7,7,,,
8,8,8,8,8,8,8,8,8,8,,,
9,9,9,9,9,9,9,9,9,9,,,
