0,0,0,6,0,0,0,0,0,0,´í1,,,0,1,2,3,4,5,6,7,8,9
1,1,1,1,1,1,1,1,1,1,,´í7,0,20,2,0,0,0,1,1,0,0,3
2,2,2,2,2,2,8,2,2,2,1,1,1,0,26,0,0,0,0,0,1,0,0
3,3,3,3,3,3,3,3,3,3,,3,2,0,0,24,0,0,0,0,0,3,0
4,4,4,4,4,4,4,4,4,4,,0,3,0,0,0,27,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,,3,4,0,0,1,1,24,0,0,0,1,0
6,6,6,6,6,6,6,6,6,6,,0,5,0,0,0,0,0,27,0,0,0,0
7,7,7,1,7,7,7,7,7,7,1,4,6,0,0,2,0,0,0,23,0,0,2
8,8,8,8,8,8,8,8,8,8,,4,7,1,3,0,0,0,0,0,23,0,0
9,9,9,7,9,9,9,7,7,7,4,0,8,0,0,0,0,0,0,0,0,27,0
0,0,0,0,9,0,9,0,9,5,4,4,9,0,0,0,0,0,0,0,4,0,23
1,1,1,1,1,1,1,1,1,7,1,,,,,,,,,,,,
2,2,2,8,8,2,2,2,2,2,2,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,8,4,3,4,4,2,4,3,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
6,6,6,6,6,2,6,9,9,2,4,,,,,,,,,,,,
7,7,7,1,1,7,7,0,7,7,3,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
0,0,0,0,1,1,0,0,0,0,2,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
