0,0,0,6,0,0,0,0,0,0,´í,´í,,0,1,2,3,4,5,6,7,8,9
1,1,1,1,1,1,0,1,1,1,,6,0,21,2,0,0,0,0,1,0,0,3
2,2,2,2,2,2,2,2,2,2,,1,1,0,26,0,0,0,0,0,0,0,1
3,3,3,3,3,3,3,3,3,3,,0,2,0,0,27,0,0,0,0,0,1,0
4,4,4,4,4,4,4,4,4,4,,0,3,0,0,0,27,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,,5,4,0,0,1,2,22,0,1,1,0,0
6,6,6,6,6,6,6,6,6,6,,1,5,1,0,0,0,0,26,0,0,0,0
7,7,7,1,7,7,7,7,7,7,1,4,6,0,0,0,0,0,0,23,0,0,4
8,8,8,8,8,8,8,8,8,8,,4,7,0,2,0,0,0,0,0,24,0,2
9,9,9,7,9,9,9,7,7,7,4,6,8,0,0,6,0,0,0,0,0,21,0
0,0,0,0,9,0,0,0,9,9,3,6,9,2,0,0,0,0,0,0,4,0,22
1,1,1,1,1,1,1,1,1,9,1,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,6,3,7,4,3,2,4,5,,,,,,,,,,,,
5,5,0,5,5,5,5,5,5,5,1,,,,,,,,,,,,
6,6,6,6,6,9,6,9,9,2,4,,,,,,,,,,,,
7,7,9,7,7,7,1,7,9,7,3,,,,,,,,,,,,
8,8,2,2,2,8,2,2,8,2,6,,,,,,,,,,,,
9,9,9,0,9,0,9,9,9,9,2,,,,,,,,,,,,
0,0,0,0,1,1,0,0,0,0,2,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
